料理名,価格,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,カルシウム,野菜量,鉄,ビタミンA,ビタミンB1,ビタミンB2,ビタミンC,画像URL
チキン南蛮,341,512,18.4,33.8,33.2,3.6,20,0,0.5,6,0.09,0.09,6,https://west2-univ.jp/menu_img/png_sp/824128.png
たらフライオーロラソース,385,771,23.3,61.9,31,1.7,35,15,1.0,,,,,https://west2-univ.jp/menu_img/png_sp/663253_355307.png
ローストンカツ玉子あんかけ,341,413,16.6,28.2,23.1,1.3,26,33,0.6,11,0.41,0.14,14,https://west2-univ.jp/menu_img/png_sp/814311.png
豚すき煮,297,259,20.6,14.4,14.3,2.3,87,77,2.7,59,0.52,0.29,14,https://west2-univ.jp/menu_img/png_sp/814070.png
鶏もやし塩だれ炒め,297,280,11.3,20.4,15.7,2,54,195,1.3,22,0.12,0.15,21,https://west2-univ.jp/menu_img/png_sp/814262.png
鯖味噌煮,253,209,10,15.1,6.7,0.7,8,0,0.6,25,0.08,0.2,1,https://west2-univ.jp/menu_img/png_sp/814297.png
ハンバーグポン酢おろし,253,220,15.1,10.9,14.2,2.2,47,45,1.3,24,0.12,0.13,4,https://west2-univ.jp/menu_img/png_sp/824029.png
肉じゃがコロッケ,132,252,3.4,17.5,20.3,0.9,11,9,0.4,19,0.06,0.03,5,https://west2-univ.jp/menu_img/png_sp/814407.png
ポテト野菜サラダ,132,95,1.5,5,11.9,0.5,16,53,0.2,18,0.04,0.03,15,https://west2-univ.jp/menu_img/png_sp/814418.png
オクラ巣ごもり玉子,99,94,7.8,6.4,3.4,0.7,60,33,1.4,108,0.06,0.25,2,https://west2-univ.jp/menu_img/png_sp/814447.png
ブロッコリーピーナッツ和え,99,44,3.7,1.7,5.5,0.5,31,71,0.7,49,0.05,0.06,39,https://west2-univ.jp/menu_img/png_sp/814413.png
ほうれん草,77,14,1.8,0.2,2.1,0.2,63,63,0.8,275,0.04,0.08,12,https://west2-univ.jp/menu_img/png_sp/814434.png
だし巻き,77,98,6.2,6.1,3.5,1,25,0,0.8,111,0.04,0.2,0,https://west2-univ.jp/menu_img/png_sp/814492.png
ポテトサラダ,77,98,0.9,6.0,10.0,0.6,3,3,0.1,16,0.03,0.01,6,https://west2-univ.jp/menu_img/png_sp/814551.png
ミニサラダ,55,6,0.3,0.1,1.6,0.0,11,33,0.1,7,0.01,0.01,9,https://west2-univ.jp/menu_img/png_sp/814460.png
納豆,55,63,5.5,3.2,4.3,0.4,28,0,1.0,0,0.02,0.17,0,https://west2-univ.jp/menu_img/png_sp/814457.png
味噌汁,44,38,2.1,1.9,2.8,1.2,28,0,0.5,1,0.00,0.01,0,https://west2-univ.jp/menu_img/png_sp/814666.png
ライス大,231,484,7.8,0.9,115.0,0.0,9,0,0.3,0,0.06,0.03,0,https://west2-univ.jp/menu_img/png_sp/814701.png
ライス中,187143231,374,6.0,0.7,89.0,0.0,7,0,0.2,0,0.05,0.02,0,https://west2-univ.jp/menu_img/png_sp/814702.png
ライス小,143,265,4.3,0.5,63.1,0.0,5,0,0.2,0,0.03,0.02,0,https://west2-univ.jp/menu_img/png_sp/814703.png
ライスミニ,99,156,2.5,0.3,37.1,0.0,3,0,0.1,0,0.02,0.01,0,https://west2-univ.jp/menu_img/png_sp/814704.png
