料理名,価格,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,カルシウム,野菜量,鉄,ビタミンA,ビタミンB1,ビタミンB2,ビタミンC,画像URL
マーボー豆腐　㊊㊌,341,264,15.9,17.2,14.1,2.6,69,3,2.7,23,0.34,0.14,1,https://west2-univ.jp/menu_img/png_sp/663264_357130.png
塩つくね　㊌㊍㊎,341,248,16.0,14.5,14.1,3.0,47,37,0.9,37,0.08,0.07,4,https://west2-univ.jp/menu_img/png_sp/663264_357102.png
チキンソースカツ　㊊㊋,341,365,17.5,20.5,28.0,2.5,66,40,1.5,189,0.10,0.12,10,https://west2-univ.jp/menu_img/png_sp/663264_357127.png
味噌チキンカツ　㊌㊌㊎,341,400,19.1,22.0,31.9,1.8,76,40,1.8,186,0.09,0.12,10,https://west2-univ.jp/menu_img/png_sp/663264_357100.png
㊊　辛味噌回鍋肉,385,347,15.5,23.0,23.4,2.1,64,184,1.5,11,0.50,0.23,41,https://west2-univ.jp/menu_img/png_sp/663264_356420.png
㊊　豆腐ハンバーグ,385,295,18.8,14.0,23.7,3.4,113,54,3.0,299,0.17,0.32,12,https://west2-univ.jp/menu_img/png_sp/663264_356425.png
㊋　鶏肉の塩だれ焼き,385,414,30.9,29.1,9.6,3.1,56,45,1.8,252,0.21,0.33,15,https://west2-univ.jp/menu_img/png_sp/663264_356432.png
㊋　ハンバーグきのこクリーム,385,268,17.5,14.6,17.7,1.8,65,43,1.6,44,0.20,0.24,14,https://west2-univ.jp/menu_img/png_sp/663264_356494.png
㊌　鶏塩ちゃんこ,385,315,19.0,19.3,17.4,4.1,103,154,1.8,124,0.15,0.18,27,https://west2-univ.jp/menu_img/png_sp/663264_356444.png
㊋　鯖の竜田揚げ,385,521,20.8,36.0,33.0,2.7,41,45,1.7,191,0.22,0.45,8,https://west2-univ.jp/menu_img/png_sp/663264_356445.png
㊍　豚肉の生姜焼き,385,349,24.7,23.0,11.8,2.6,22,40,0.7,17,0.85,0.21,9,https://west2-univ.jp/menu_img/png_sp/663264_356437.png
㊍ 白身魚和風玉子あんかけ,385,576,16.6,37.0,31.5,4.1,48,22,0.8,150,0.11,0.21,3,https://west2-univ.jp/menu_img/png_sp/663264_356434.png
㊎　鶏と野菜の黒酢あんかけ,385,496,12.1,29.1,46.9,3.4,62,128,1.3,44,0.17,0.16,14,https://west2-univ.jp/menu_img/png_sp/663264_356447.png
㊎　ポトフ風,385,250,10.0,17.3,17.0,3.6,43,94,0.9,114,0.28,0.13,61,https://west2-univ.jp/menu_img/png_sp/663264_356483.png
マカロニ野菜サラダ,132,131,3,8.3,11.9,0.5,25,48,0.6,29,0.05,0.04,12,https://west2-univ.jp/menu_img/png_sp/814489.png
牛肉コロッケ,132,234,3,15.4,21.1,0.6,7,1,0.4,0,0.05,0.02,6,https://west2-univ.jp/menu_img/png_sp/814403.png
かぼちゃ煮,99,71,1.2,0.5,15.5,0.3,13,54,0.3,37,0.05,0.04,9,https://west2-univ.jp/menu_img/png_sp/814438.png
オクラ巣ごもり玉子　㊌㊍㊎,99,94,7.8,6.4,3.4,0.7,60,33,1.4,108,0.06,0.25,2,https://west2-univ.jp/menu_img/png_sp/814447.png
玉子とキャベツ和え　㊊㊋,99,39,1.8,2.6,2.1,0.6,19,33,0.2,26,0.01,0.04,6,https://west2-univ.jp/menu_img/png_sp/814543.png
小松菜わさび和え,99,31,1.7,0.4,5.3,0.7,48,40,0.7,77,0.02,0.03,6,https://west2-univ.jp/menu_img/png_sp/814579.png
ささみ枝豆ひじきサラダ,99,77,5.8,3.1,7.9,0.6,38,37,0.5,125,0.08,0.05,5,https://west2-univ.jp/menu_img/png_sp/814583.png
ほうれん草,77,14,1.8,0.2,2.1,0.2,63,63,0.8,275,0.04,0.08,12,https://west2-univ.jp/menu_img/png_sp/814434.png
卯の花　㊊㊋,77,34,1.3,1.2,4.4,0.5,13,3,0.3,8,0.02,0.01,1,https://west2-univ.jp/menu_img/png_sp/814572.png
ポテトサラダ　㊌㊍㊎,77,98,0.9,6.0,10.0,0.6,3,3,0.1,16,0.03,0.01,6,https://west2-univ.jp/menu_img/png_sp/814551.png
豚汁,132,91,5.4,3.4,9.9,1.5,29,54,0.8,110,0.16,0.07,4,https://west2-univ.jp/menu_img/png_sp/814667.png
柚子胡椒天うどん,374,439,15,4.6,84.7,5.6,32,37,1.0,50,0.14,0.08,6,https://west2-univ.jp/menu_img/png_sp/819485.png
温玉ぶっかけうどん,374,423,15.4,8.4,72.9,3.3,52,5,1.9,94,0.13,0.27,8,https://west2-univ.jp/menu_img/png_sp/819316.png
ライス中,187,374,6.0,0.7,89.0,0.0,7,0,0.2,0,0.05,0.02,0,https://west2-univ.jp/menu_img/png_sp/814702.png
ライス小,143,265,4.3,0.5,63.1,0.0,5,0,0.2,0,0.03,0.02,0,https://west2-univ.jp/menu_img/png_sp/814703.png
ライスミニ,99,156,2.5,0.3,37.1,0.0,3,0,0.1,0,0.02,0.01,0,https://west2-univ.jp/menu_img/png_sp/814704.png
ライス大,231,484,7.8,0.9,115.0,0.0,9,0,0.3,0,0.06,0.03,0,https://west2-univ.jp/menu_img/png_sp/814701.png
