料理名,価格,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,カルシウム,野菜量,鉄,ビタミンA,ビタミンB1,ビタミンB2,ビタミンC,画像URL
鶏竜田山賊甘だれ,385,499,30.2,35.8,16.9,2.2,31,56,1.4,73,0.2,0.28,21,https://west2-univ.jp/menu_img/png_sp/815012.png
シチュードチーズバーグ,385,338,19.8,16.8,27.2,3.4,163,123,1.7,61,0.18,0.23,27,https://west2-univ.jp/menu_img/png_sp/815001.png
豚と野菜の生姜炒め,297,262,12.8,17.6,16.9,3,63,198,1.0,145,0.41,0.2,55,https://west2-univ.jp/menu_img/png_sp/814260.png
クラムチャウダー,297,238,10.3,7.7,33,2.6,106,44,8.1,176,0.2,0.18,26,https://west2-univ.jp/menu_img/png_sp/814049.png
白身魚フライ,253,571,11.4,45.2,16.5,2,24,0,0.3,9,0.08,0.07,0,https://west2-univ.jp/menu_img/png_sp/814170.png
スタミナ茄子,99,143,1.2,12.3,8.1,0.8,8,63,0.4,3,0.03,0.04,1,https://west2-univ.jp/menu_img/png_sp/814536.png
ハッシュポテト,132,127,0.9,8.3,12.2,0.7,3,0,0.3,0,0.04,0.02,6,https://west2-univ.jp/menu_img/png_sp/814431.png
オクラ巣ごもり玉子,99,94,7.8,6.4,3.4,0.7,60,33,1.4,108,0.06,0.25,2,https://west2-univ.jp/menu_img/png_sp/814447.png
ほうれん草塩ナムル,99,54,4.6,1.9,5.5,0.9,30,50,0.3,227,0.04,0.06,7,https://west2-univ.jp/menu_img/png_sp/814501.png
千切り煮,77,28,1.3,0.8,4.0,0.6,29,36,0.3,39,0.01,0.01,0,https://west2-univ.jp/menu_img/png_sp/814577.png
豆たっぷりヘルシーサラダ,77,94,4.0,5.4,7.4,0.8,26,17,0.7,26,0.07,0.04,2,https://west2-univ.jp/menu_img/png_sp/814506.png
フルーツヨーグルト,132,78,2.7,2.2,12.9,0.1,89,0,0.1,29,0.04,0.1,20,https://west2-univ.jp/menu_img/png_sp/814808.png
豚汁,132,91,5.4,3.4,9.9,1.5,29,54,0.8,110,0.16,0.07,4,https://west2-univ.jp/menu_img/png_sp/814667.png
味噌汁,44,38,2.1,1.9,2.8,1.2,28,0,0.5,1,0.00,0.01,0,https://west2-univ.jp/menu_img/png_sp/814666.png
きつねうどん,374,446,14.6,8,79.1,4.9,74,5,1.4,6,0.11,0.06,2,https://west2-univ.jp/menu_img/png_sp/819393.png
きつねそば,374,421,19.8,8.4,66.6,4.5,79,5,2.7,6,0.21,0.09,2,https://west2-univ.jp/menu_img/png_sp/819394.png
担々麺,506,660,22.2,25.3,86.3,6,208,30,3.0,82,0.24,0.17,5,https://west2-univ.jp/menu_img/png_sp/819990.png
塩だれカツ丼中,506,726,18.2,24.9,110.4,2.4,34,30,0.8,27,0.38,0.11,14,https://west2-univ.jp/menu_img/png_sp/819934.png
欧風カレー,517,601,13.6,15.3,105.6,2.3,32,43,0.9,14,0.09,0.07,4,https://west2-univ.jp/menu_img/png_sp/663258_355015.png
欧風カツカレー,638,882,24.8,35.0,119.6,2.9,38,43,1.2,17,0.40,0.13,4,https://west2-univ.jp/menu_img/png_sp/663258_355017.png
ケバブプレート,693,329,5.8,0.7,78.6,0.0,28,63,0.3,79,0.08,0.04,19,https://west2-univ.jp/menu_img/png_sp/663265_356510.png
ケバブラップ,693,17,0.8,0.1,4.4,0.0,22,63,0.1,79,0.04,0.02,19,https://west2-univ.jp/menu_img/png_sp/663265_356512.png
トマトチキンカレー,704,696,21.8,13.3,123.2,1.8,36,62,1.6,153,0.34,0.20,9,https://west2-univ.jp/menu_img/png_sp/814925.png
ベジラップ,484,26,1.2,0.1,6.3,0.0,33,95,0.2,116,0.06,0.03,26,https://west2-univ.jp/menu_img/png_sp/663265_356513.png
大豆ミートのキーマカレー,682,594,15.5,11.3,110.2,2.7,73,52,,,,,,https://west2-univ.jp/menu_img/png_sp/663265_355001.png
