料理名,価格,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,カルシウム,野菜量,鉄,ビタミンA,ビタミンB1,ビタミンB2,ビタミンC,画像URL
ハンバーグチーズソース,253,256,17.6,14.5,12.4,1.8,132,23,1.2,60,0.13,0.19,2,https://west2-univ.jp/menu_img/png_sp/621059.png
豚肉の生姜焼き,297,240,19.6,14.7,9.2,1.6,15,50,0.8,5,0.68,0.25,7,https://west2-univ.jp/menu_img/png_sp/621021.png
豚味噌煮,297,195,13.6,9.0,19.2,2.8,87,147,2.0,132,0.36,0.16,18,https://west2-univ.jp/menu_img/png_sp/611069.png
ジューシー鶏カツ麻婆ソース,341,433,15.4,31.5,22.6,1.8,17,0,0.9,32,0.09,0.12,2,https://west2-univ.jp/menu_img/png_sp/621011.png
とり天葱生姜だれ,297,352,17.1,23.2,18.7,1.6,11,0,0.4,67,0.06,0.08,1,https://west2-univ.jp/menu_img/png_sp/621012.png
鶏の塩だれ竜田揚げ【夕食】,319,412,24.3,31.1,9.7,2.1,14,2,1.0,60,0.15,0.22,5,https://west2-univ.jp/menu_img/png_sp/621401.png
牛肉コロッケ,132,226,3.0,14.6,21.1,0.6,7,1,0.4,0,0.05,0.02,6,https://west2-univ.jp/menu_img/png_sp/612005.png
ハッシュポテト,132,130,1.4,6.9,14.7,0.8,4,0,0.4,0,0.05,0.02,7,https://west2-univ.jp/menu_img/png_sp/612008.png
さば塩焼き,253,268,15.9,22.7,0.0,0.6,7,0,0.9,42,0.13,0.33,1,https://west2-univ.jp/menu_img/png_sp/611098.png
欧風ビーフカレーコロッケ,154,211,2.9,14.6,17.0,1.1,12,9,0.5,30,0.05,0.02,4,https://west2-univ.jp/menu_img/png_sp/612209.png
わかめ玉子サラダ,132,60,2.4,4.4,3.6,0.6,28,40,0.2,6,0.02,0.06,16,https://west2-univ.jp/menu_img/png_sp/612021.png
オクラ巣ごもり玉子,132,81,6.7,5.5,3.0,0.6,57,33,1.2,96,0.06,0.22,2,https://west2-univ.jp/menu_img/png_sp/612001.png
ほうれん草,77,13,1.4,0.3,2.2,0.0,38,56,0.5,250,0.03,0.06,11,https://west2-univ.jp/menu_img/png_sp/612093.png
小松菜ときざみ揚げのおひたし,99,32,2.7,1.2,2.7,1.0,59,38,0.9,124,0.03,0.03,7,https://west2-univ.jp/menu_img/png_sp/612037.png
蒸し鶏オクラ梅だれ和え,99,40,4.5,0.3,5.5,0.9,32,33,0.2,21,0.05,0.05,2,https://west2-univ.jp/menu_img/png_sp/612064.png
しらす豆腐,99,58,5.9,3.1,2.6,1.1,38,0,1.2,7,0.11,0.04,0,https://west2-univ.jp/menu_img/png_sp/612081.png
ひじき煮,77,48,1.6,2.4,4.9,0.8,31,4,0.4,38,0.02,0.02,0,https://west2-univ.jp/menu_img/png_sp/612103.png
ミニサラダ,77,8,0.3,0.0,1.9,0.0,13,40,0.1,7,0.01,0.01,10,https://west2-univ.jp/menu_img/png_sp/612120.png
納豆,77,83,6.4,4.5,6.0,0.5,38,0,1.4,0,0.05,0.13,1,https://west2-univ.jp/menu_img/png_sp/612108.png
あまおう苺ムース【午後】,165,78,0.8,5.5,6.4,0.0,9,0,0.1,24,0.01,0.02,1,https://west2-univ.jp/menu_img/png_sp/615006.png
フルーツミックスヨーグルト,99,51,1.5,1.2,9.6,0.0,51,0,0.0,17,0.03,0.07,10,https://west2-univ.jp/menu_img/png_sp/615020.png
大学芋,121,157,0.6,3.2,31.7,0.0,15,0,0.4,0,0.06,0.03,6,https://west2-univ.jp/menu_img/png_sp/615015.png
チョコクレープ,99,86,0.8,5.2,8.4,0.1,8,0,0.1,3,0.01,0.02,0,https://west2-univ.jp/menu_img/png_sp/615029.png
大学生協牛乳,105,122,6.6,7.6,9.6,0.2,220,0,0.0,76,0.08,0.30,2,https://west2-univ.jp/menu_img/png_sp/714816.png
大学生協コーヒー,116,136,4.6,5.0,18.0,0.2,154,0,0.2,54,0.06,0.22,2,https://west2-univ.jp/menu_img/png_sp/714818.png
