料理名,価格,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,カルシウム,野菜量,鉄,ビタミンA,ビタミンB1,ビタミンB2,ビタミンC,画像URL
ジューシー鶏カツ麻婆ソース,341,433,15.4,31.5,22.6,1.8,17,0,0.9,32,0.09,0.12,2,https://west2-univ.jp/menu_img/png_sp/621011.png
豚肉の生姜焼き,297,240,19.6,14.7,9.2,1.6,15,50,0.8,5,0.68,0.25,7,https://west2-univ.jp/menu_img/png_sp/621021.png
とり天葱生姜だれ,297,352,17.1,23.2,18.7,1.6,11,0,0.4,67,0.06,0.08,1,https://west2-univ.jp/menu_img/png_sp/621012.png
豚味噌煮,297,195,13.6,9.0,19.2,2.8,87,147,2.0,132,0.36,0.16,18,https://west2-univ.jp/menu_img/png_sp/611069.png
ロースカツ味噌だれ,297,464,16.8,27.3,36.9,2.2,29,0,1.2,4,0.41,0.10,0,https://west2-univ.jp/menu_img/png_sp/621036.png
ハンバーグチーズソース,253,256,17.6,14.5,12.4,1.8,132,23,1.2,60,0.13,0.19,2,https://west2-univ.jp/menu_img/png_sp/621059.png
さば塩焼き,253,268,15.9,22.7,0.0,0.6,7,0,0.9,42,0.13,0.33,1,https://west2-univ.jp/menu_img/png_sp/611098.png
ハッシュポテト,132,130,1.4,6.9,14.7,0.8,4,0,0.4,0,0.05,0.02,7,https://west2-univ.jp/menu_img/png_sp/612008.png
すき焼きコロッケ,132,202,3.2,13.4,17.7,0.7,8,5,0.4,1,0.04,0.02,5,https://west2-univ.jp/menu_img/png_sp/612006.png
わかめ玉子サラダ,132,60,2.4,4.4,3.6,0.6,28,40,0.2,6,0.02,0.06,16,https://west2-univ.jp/menu_img/png_sp/612021.png
小松菜ときざみ揚げのおひたし,99,32,2.7,1.2,2.7,1.0,59,38,0.9,124,0.03,0.03,7,https://west2-univ.jp/menu_img/png_sp/612037.png
オクラ巣ごもり玉子,132,81,6.7,5.5,3.0,0.6,57,33,1.2,96,0.06,0.22,2,https://west2-univ.jp/menu_img/png_sp/612001.png
蒸し鶏オクラ梅だれ和え,99,40,4.5,0.3,5.5,0.9,32,33,0.2,21,0.05,0.05,2,https://west2-univ.jp/menu_img/png_sp/612064.png
納豆,77,83,6.4,4.5,6.0,0.5,38,0,1.4,0,0.05,0.13,1,https://west2-univ.jp/menu_img/png_sp/612108.png
ほうれん草胡麻和え,77,30,1.9,1.3,3.8,0.5,54,50,0.7,225,0.04,0.06,10,https://west2-univ.jp/menu_img/png_sp/612094.png
ひじき煮,77,48,1.6,2.4,4.9,0.8,31,4,0.4,38,0.02,0.02,0,https://west2-univ.jp/menu_img/png_sp/612103.png
パンプキンサラダ,77,107,1.3,6.9,9.9,0.4,5,30,0.2,101,0.02,0.03,10,https://west2-univ.jp/menu_img/png_sp/612117.png
ミニサラダ,77,8,0.3,0.0,1.9,0.0,13,40,0.1,7,0.01,0.01,10,https://west2-univ.jp/menu_img/png_sp/612120.png
鉄分たっぷり鶏きも煮,99,73,7.8,1.9,5.5,1.2,4,0,2.8,5476,0.14,0.63,7,https://west2-univ.jp/menu_img/png_sp/612002.png
さっぱり豚汁,110,58,3.8,2.3,7.1,1.5,15,40,0.3,64,0.12,0.04,3,https://west2-univ.jp/menu_img/png_sp/614002.png
味噌汁,44,24,1.6,0.8,3.0,1.7,14,0,0.2,1,0.01,0.04,0,https://west2-univ.jp/menu_img/png_sp/614010.png
ちく天うどん,396,444,16.9,5.3,82.3,5.6,31,5,1.4,6,0.13,0.10,2,https://west2-univ.jp/menu_img/png_sp/617081.png
ちく天そば,396,419,22.1,5.7,69.8,5.2,36,5,2.7,6,0.23,0.13,2,https://west2-univ.jp/menu_img/png_sp/617082.png
かけうどん,308,346,8.8,2.0,73.4,4.2,21,5,0.7,6,0.10,0.05,2,https://west2-univ.jp/menu_img/png_sp/617065.png
かけそば,308,321,14.0,2.4,60.9,3.8,26,5,2.0,6,0.20,0.08,2,https://west2-univ.jp/menu_img/png_sp/617066.png
冷やし担々麺,594,563,24.7,14.6,83.1,4.8,104,25,2.4,20,0.24,0.17,5,https://west2-univ.jp/menu_img/png_sp/617152.png
（中）チキン竜田丼(月～水）,583,764,23.5,27.6,108.9,3.4,22,0,0.9,47,0.18,0.23,0,https://west2-univ.jp/menu_img/png_sp/616002.png
（小）チキン竜田丼（月～水）,495,531,16.0,18.4,77.7,2.3,15,0,0.7,31,0.12,0.15,0,https://west2-univ.jp/menu_img/png_sp/616003.png
（中）ビビンバ丼（木～土）,528,556,16.7,11.9,97.8,4.0,90,66,1.4,142,0.16,0.13,12,https://west2-univ.jp/menu_img/png_sp/616050.png
（小）ビビンバ丼（木～土）,440,399,11.8,8.4,70.7,2.8,64,46,1.1,99,0.10,0.09,8,https://west2-univ.jp/menu_img/png_sp/616051.png
（中）カレーライス,363,506,9.3,9.5,98.6,2.7,33,5,1.2,46,0.07,0.05,0,https://west2-univ.jp/menu_img/png_sp/616149.png
（中）ロースカツカレー,528,787,20.5,29.2,112.6,3.3,39,5,1.5,49,0.38,0.11,0,https://west2-univ.jp/menu_img/png_sp/616122.png
（大）ライス,231,437,7.0,0.8,103.9,0.0,8,0,0.3,0,0.06,0.03,0,https://west2-univ.jp/menu_img/png_sp/610001.png
（中）ライス,187,343,5.5,0.7,81.6,0.0,7,0,0.2,0,0.04,0.02,0,https://west2-univ.jp/menu_img/png_sp/610002.png
（小）ライス,143,250,4.0,0.5,59.4,0.0,5,0,0.2,0,0.03,0.02,0,https://west2-univ.jp/menu_img/png_sp/610003.png
